ENSP00000000412	ENSG00000003056	M6PR	ENSDARP00000018076	ENSDARG00000018432	m6pr
ENSP00000296096	ENSG00000163792	TCF23	ENSDARP00000109774	ENSDARG00000087381	tcf23
ENSP00000296098	ENSG00000138100	TRIM54	ENSDARP00000061393	ENSDARG00000029907	trim54
ENSP00000296099	ENSG00000163794	UCN	ENSDARP00000019621	ENSDARG00000014927	uts1
ENSP00000296129	ENSG00000163814	CDCP1	ENSDARP00000146008	ENSDARG00000110186	CDCP1
ENSP00000296130	ENSG00000163815	CLEC3B	ENSDARP00000098343	ENSDARG00000076541	clec3ba
ENSP00000296135	ENSG00000163818	LZTFL1	ENSDARP00000139253	ENSDARG00000105010	lztfl1
ENSP00000296145	ENSG00000241186	TDGF1	ENSDARP00000042440	ENSDARG00000035095	tdgf1
ENSP00000296161	ENSG00000163840	DTX3L	ENSDARP00000129246	ENSDARG00000075504	si:dkey-40c23.2
ENSP00000296215	ENSG00000163877	SNIP1	ENSDARP00000108908	ENSDARG00000087528	snip1
ENSP00000296218	ENSG00000163879	DNALI1	ENSDARP00000092673	ENSDARG00000069815	dnali1
ENSP00000296233	ENSG00000163884	KLF15	ENSDARP00000107271	ENSDARG00000091127	klf15
ENSP00000296238	ENSG00000163888	CAMK2N2	ENSDARP00000146942	ENSDARG00000111102	camk2n2
ENSP00000296252	ENSG00000163898	LIPH	ENSDARP00000014985	ENSDARG00000005332	lipib
ENSP00000296255	ENSG00000163902	RPN1	ENSDARP00000076844	ENSDARG00000059323	rpn1
ENSP00000296257	ENSG00000163904	SENP2	ENSDARP00000101246	ENSDARG00000073837	senp2
ENSP00000296292	ENSG00000163933	RFT1	ENSDARP00000079496	ENSDARG00000060398	rft1
ENSP00000296318	ENSG00000144730	IL17RD	ENSDARP00000140479	ENSDARG00000098359	il17rd
ENSP00000296327	ENSG00000163959	SLC51A	ENSDARP00000066630	ENSDARG00000045306	slc51a
ENSP00000296328	ENSG00000163960	UBXN7	ENSDARP00000012036	ENSDARG00000009436	ubxn7
ENSP00000296333	ENSG00000163964	PIGX	ENSDARP00000087423	ENSDARG00000063559	pigx
ENSP00000296343	ENSG00000145016	RUBCN	ENSDARP00000149590	ENSDARG00000078752	rubcn
ENSP00000296350	ENSG00000163975	MELTF	ENSDARP00000082836	ENSDARG00000075159	meltf
ENSP00000296387	ENSG00000164007	CLDN19	ENSDARP00000065460	ENSDARG00000044569	cldn19
ENSP00000296417	ENSG00000164032	H2AZ1	ENSDARP00000154835	ENSDARG00000116491	h2az2b
ENSP00000296424	ENSG00000164039	BDH2	ENSDARP00000069085	ENSDARG00000052696	bdh2
ENSP00000296438	ENSG00000164049	FBXW12	ENSDARP00000076262	ENSDARG00000058871	zgc:171857
ENSP00000296449	ENSG00000173421	IHO1	ENSDARP00000128499	ENSDARG00000097704	ccdc36
ENSP00000296473	ENSG00000164077	MON1A	ENSDARP00000102772	ENSDARG00000078585	mon1a
ENSP00000296490	ENSG00000164091	WDR82	ENSDARP00000019685	ENSDARG00000014083	wdr82
ENSP00000296503	ENSG00000164104	HMGB2	ENSDARP00000153222	ENSDARG00000053990	hmgb2b
ENSP00000296509	ENSG00000164109	MAD2L1	ENSDARP00000003616	ENSDARG00000004713	mad2l1
ENSP00000296511	ENSG00000164111	ANXA5	ENSDARP00000006207	ENSDARG00000016470	anxa5b
ENSP00000296513	ENSG00000164113	ADAD1	ENSDARP00000112407	ENSDARG00000089181	adad1
ENSP00000296522	ENSG00000164120	HPGD	ENSDARP00000015036	ENSDARG00000012016	hpgd
ENSP00000296525	ENSG00000164122	ASB5	ENSDARP00000069715	ENSDARG00000053222	asb5b
ENSP00000296529	ENSG00000164124	TMEM144	ENSDARP00000054439	ENSDARG00000037409	tmem144a
ENSP00000296564	ENSG00000164151	ICE1	ENSDARP00000135365	ENSDARG00000114162	ice1
ENSP00000296577	ENSG00000164163	ABCE1	ENSDARP00000011642	ENSDARG00000007216	abce1
ENSP00000296581	ENSG00000164167	LSM6	ENSDARP00000053772	ENSDARG00000036995	lsm6
ENSP00000296632	ENSG00000164211	STARD4	ENSDARP00000136540	ENSDARG00000102477	stard4
ENSP00000296641	ENSG00000164220	F2RL2	ENSDARP00000103414	ENSDARG00000079472	F2RL2
ENSP00000296657	ENSG00000164236	ANKRD33B	ENSDARP00000075663	ENSDARG00000058357	ankrd33ba
ENSP00000296658	ENSG00000164237	CMBL	ENSDARP00000103658	ENSDARG00000073786	cmbl
ENSP00000296674	ENSG00000186468	RPS23	ENSDARP00000035273	ENSDARG00000021838	rps23
ENSP00000296677	ENSG00000164251	F2RL1	ENSDARP00000125648	ENSDARG00000077540	f2rl1.2
ENSP00000296679	ENSG00000164253	WDR41	ENSDARP00000107806	ENSDARG00000009851	wdr41
ENSP00000296741	ENSG00000164303	ENPP6	ENSDARP00000059230	ENSDARG00000040469	enpp6
ENSP00000296776	ENSG00000164325	TMEM174	ENSDARP00000051296	ENSDARG00000035388	tmem174
ENSP00000296783	ENSG00000164329	TENT2	ENSDARP00000138757	ENSDARG00000099679	tent2
ENSP00000296805	ENSG00000164347	GFM2	ENSDARP00000006504	ENSDARG00000005561	gfm2
ENSP00000296824	ENSG00000164366	CCDC127	ENSDARP00000012199	ENSDARG00000008946	ccdc127b
ENSP00000296839	ENSG00000164379	FOXQ1	ENSDARP00000113053	ENSDARG00000055395	foxq1b
ENSP00000296861	ENSG00000146072	TNFRSF21	ENSDARP00000036002	ENSDARG00000001807	tnfrsf21
ENSP00000296877	ENSG00000164406	LEAP2	ENSDARP00000115590	ENSDARG00000092044	si:dkey-22f5.9
ENSP00000296921	ENSG00000164438	TLX3	ENSDARP00000141637	ENSDARG00000114069	tlx3b
ENSP00000296953	ENSG00000164463	CREBRF	ENSDARP00000133956	ENSDARG00000105114	crebrf
ENSP00000296978	ENSG00000164484	TMEM200A	ENSDARP00000126735	ENSDARG00000031540	tmem200a
ENSP00000296980	ENSG00000164485	IL22RA2	ENSDARP00000057618	ENSDARG00000039439	il22ra2
ENSP00000297001	ENSG00000164500	SPATA48	ENSDARP00000148350	ENSDARG00000109818	SPATA48
ENSP00000297056	ENSG00000164535	DAGLB	ENSDARP00000106821	ENSDARG00000089888	daglb
ENSP00000297063	ENSG00000164542	KIAA0895	ENSDARP00000143305	ENSDARG00000057227	si:dkey-222b8.4
ENSP00000297109	ENSG00000164576	SAP30L	ENSDARP00000028875	ENSDARG00000030213	sap30l
ENSP00000297142	ENSG00000164600	NEUROD6	ENSDARP00000096474	ENSDARG00000040008	neurod6a
ENSP00000297151	ENSG00000164609	SLU7	ENSDARP00000112935	ENSDARG00000038870	slu7
ENSP00000297156	ENSG00000164615	CAMLG	ENSDARP00000136410	ENSDARG00000100409	camlg
ENSP00000297157	ENSG00000164610	RP9	ENSDARP00000135134	ENSDARG00000098942	rp9
ENSP00000297161	ENSG00000164619	BMPER	ENSDARP00000133233	ENSDARG00000101980	bmper
ENSP00000297203	ENSG00000164645	TEX47	ENSDARP00000063437	ENSDARG00000053520	LO017829.1
ENSP00000297267	ENSG00000164694	FNDC1	ENSDARP00000013881	ENSDARG00000002847	fndc1
ENSP00000297273	ENSG00000127995	CASD1	ENSDARP00000114886	ENSDARG00000023900	casd1
ENSP00000297283	ENSG00000164708	PGAM2	ENSDARP00000074719	ENSDARG00000057571	pgam2
ENSP00000297290	ENSG00000164713	BRI3	ENSDARP00000108026	ENSDARG00000086332	bri3
ENSP00000297293	ENSG00000164715	LMTK2	ENSDARP00000098121	ENSDARG00000076324	lmtk2
ENSP00000297313	ENSG00000147509	RGS20	ENSDARP00000149943	ENSDARG00000038859	rgs20
ENSP00000297316	ENSG00000164736	SOX17	ENSDARP00000135455	ENSDARG00000101717	sox17
ENSP00000297347	ENSG00000164758	MED30	ENSDARP00000134817	ENSDARG00000101115	med30
ENSP00000297350	ENSG00000164761	TNFRSF11B	ENSDARP00000149288	ENSDARG00000098377	tnfrsf11b
ENSP00000297354	ENSG00000164764	SBSPON	ENSDARP00000157587	ENSDARG00000110160	SBSPON
ENSP00000297431	ENSG00000164815	ORC5	ENSDARP00000033056	ENSDARG00000021579	orc5
ENSP00000297440	ENSG00000164818	DNAAF5	ENSDARP00000133360	ENSDARG00000104886	CABZ01085365.1
ENSP00000297504	ENSG00000197150	ABCB8	ENSDARP00000073658	ENSDARG00000056672	abcb8
ENSP00000297508	ENSG00000164877	MICALL2	ENSDARP00000118632	ENSDARG00000017834	micall2b
ENSP00000297532	ENSG00000164896	FASTK	ENSDARP00000123412	ENSDARG00000077075	fastk
ENSP00000297534	ENSG00000164898	FMC1	ENSDARP00000053891	ENSDARG00000074266	si:ch1073-314i13.4
ENSP00000297537	ENSG00000164900	GBX1	ENSDARP00000096349	ENSDARG00000071418	gbx1
ENSP00000297540	ENSG00000164902	PHAX	ENSDARP00000065035	ENSDARG00000044298	phax
ENSP00000297574	ENSG00000164929	BAALC	ENSDARP00000126907	ENSDARG00000089549	baalcb
ENSP00000297578	ENSG00000164933	SLC25A32	ENSDARP00000032745	ENSDARG00000026835	slc25a32b
ENSP00000297579	ENSG00000164934	DCAF13	ENSDARP00000028109	ENSDARG00000002267	dcaf13
ENSP00000297591	ENSG00000164944	VIRMA	ENSDARP00000131427	ENSDARG00000075824	virma
ENSP00000297613	ENSG00000164967	RPP25L	ENSDARP00000093437	ENSDARG00000070131	rpp25l
ENSP00000297632	ENSG00000164983	TMEM65	ENSDARP00000100142	ENSDARG00000076393	tmem65
ENSP00000297689	ENSG00000165030	NFIL3	ENSDARP00000153020	ENSDARG00000110085	nfil3
ENSP00000297737	ENSG00000165061	ZMAT4	ENSDARP00000146823	ENSDARG00000092987	zmat4a
ENSP00000297770	ENSG00000165078	CPA6	ENSDARP00000096966	ENSDARG00000012013	cpa6
ENSP00000297788	ENSG00000128596	CCDC136	ENSDARP00000112665	ENSDARG00000057921	ccdc136b
ENSP00000297873	ENSG00000165171	METTL27	ENSDARP00000091993	ENSDARG00000069507	mettl27
ENSP00000297904	ENSG00000165197	VEGFD	ENSDARP00000121602	ENSDARG00000056624	vegfd
ENSP00000297977	ENSG00000165259	HDX	ENSDARP00000102393	ENSDARG00000079382	hdx
ENSP00000297988	ENSG00000165269	AQP7	ENSDARP00000105936	ENSDARG00000026787	aqp7
ENSP00000297991	ENSG00000165272	AQP3	ENSDARP00000092015	ENSDARG00000069518	aqp3b
ENSP00000297994	ENSG00000165275	TRMT10B	ENSDARP00000142268	ENSDARG00000060176	trmt10b
ENSP00000298032	ENSG00000165309	ARMC3	ENSDARP00000098032	ENSDARG00000074708	armc3
ENSP00000298048	ENSG00000165304	MELK	ENSDARP00000047727	ENSDARG00000030759	melk
ENSP00000298097	ENSG00000165355	FBXO33	ENSDARP00000103689	ENSDARG00000075400	fbxo33
ENSP00000298130	ENSG00000165389	SPTSSA	ENSDARP00000095888	ENSDARG00000071203	sptssa
ENSP00000298159	ENSG00000165410	CFL2	ENSDARP00000006783	ENSDARG00000014106	cfl2
ENSP00000298223	ENSG00000165457	FOLR2	ENSDARP00000140245	ENSDARG00000102442	folr
ENSP00000298231	ENSG00000165462	PHOX2A	ENSDARP00000013072	ENSDARG00000007406	phox2a
ENSP00000298251	ENSG00000165478	HEPACAM	ENSDARP00000124635	ENSDARG00000056934	hepacama
ENSP00000298282	ENSG00000165495	PKNOX2	ENSDARP00000123244	ENSDARG00000055349	pknox2
ENSP00000298288	ENSG00000165501	LRR1	ENSDARP00000130485	ENSDARG00000104448	zgc:77287
ENSP00000298292	ENSG00000165506	DNAAF2	ENSDARP00000137300	ENSDARG00000103132	dnaaf2
ENSP00000298307	ENSG00000165516	KLHDC2	ENSDARP00000138187	ENSDARG00000104864	klhdc2
ENSP00000298310	ENSG00000165525	NEMF	ENSDARP00000133273	ENSDARG00000102859	CABZ01092170.1
ENSP00000298317	ENSG00000165526	RPUSD4	ENSDARP00000149983	ENSDARG00000112436	rpusd4
ENSP00000298492	ENSG00000165660	ABRAXAS2	ENSDARP00000136248	ENSDARG00000098907	abraxas2
ENSP00000298532	ENSG00000165684	SNAPC4	ENSDARP00000088244	ENSDARG00000067673	snapc4
ENSP00000298542	ENSG00000165694	FRMD7	ENSDARP00000122496	ENSDARG00000068958	frmd7
ENSP00000298556	ENSG00000165704	HPRT1	ENSDARP00000123706	ENSDARG00000008884	hprt1
ENSP00000298569	ENSG00000122203	KIAA1191	ENSDARP00000152044	ENSDARG00000003127	zgc:123105
ENSP00000298585	ENSG00000165724	ZMYND19	ENSDARP00000141166	ENSDARG00000100773	zmynd19
ENSP00000298687	ENSG00000165795	NDRG2	ENSDARP00000012950	ENSDARG00000011170	ndrg2
ENSP00000298717	ENSG00000165819	METTL3	ENSDARP00000022188	ENSDARG00000012827	mettl3
ENSP00000298743	ENSG00000180447	GAS1	ENSDARP00000088818	ENSDARG00000067984	gas1b
ENSP00000298746	ENSG00000165832	TRUB1	ENSDARP00000070369	ENSDARG00000053805	trub1
ENSP00000298786	ENSG00000122376	SHLD2	ENSDARP00000117245	ENSDARG00000038686	
ENSP00000298832	ENSG00000119685	TTLL5	ENSDARP00000142565	ENSDARG00000036793	ttll5
ENSP00000298838	ENSG00000165912	PACSIN3	ENSDARP00000138125	ENSDARG00000099339	pacsin3
ENSP00000298852	ENSG00000165916	PSMC3	ENSDARP00000136258	ENSDARG00000007141	psmc3
ENSP00000298875	ENSG00000165934	CPSF2	ENSDARP00000047211	ENSDARG00000028971	cpsf2
ENSP00000298892	ENSG00000110888	CAPRIN2	ENSDARP00000040707	ENSDARG00000020749	caprin2
ENSP00000298910	ENSG00000188906	LRRK2	ENSDARP00000123741	ENSDARG00000006169	lrrk2
ENSP00000298912	ENSG00000165959	CLMN	ENSDARP00000127965	ENSDARG00000096867	clmn
ENSP00000298943	ENSG00000165985	C1QL3	ENSDARP00000019910	ENSDARG00000010350	c1ql3a
ENSP00000299045	ENSG00000166046	TCP11L2	ENSDARP00000028958	ENSDARG00000027316	tcp11l2
ENSP00000299084	ENSG00000166068	SPRED1	ENSDARP00000060763	ENSDARG00000041449	spred1
ENSP00000299106	ENSG00000166086	JAM3	ENSDARP00000082979	ENSDARG00000061794	jam3b
ENSP00000299138	ENSG00000069329	VPS35	ENSDARP00000003960	ENSDARG00000008224	vps35
ENSP00000299155	ENSG00000166126	AMN	ENSDARP00000127484	ENSDARG00000062947	amn
ENSP00000299162	ENSG00000139445	FOXN4	ENSDARP00000020367	ENSDARG00000010591	foxn4
ENSP00000299163	ENSG00000166135	HIF1AN	ENSDARP00000042048	ENSDARG00000031915	hif1an
ENSP00000299166	ENSG00000166136	NDUFB8	ENSDARP00000095947	ENSDARG00000010113	ndufb8
ENSP00000299178	ENSG00000166148	AVPR1A	ENSDARP00000100061	ENSDARG00000077083	avpr1aa
ENSP00000299192	ENSG00000155393	HEATR3	ENSDARP00000052367	ENSDARG00000036076	heatr3
ENSP00000299213	ENSG00000166173	LARP6	ENSDARP00000153929	ENSDARG00000005355	larp6a
ENSP00000299237	ENSG00000166188	ZNF319	ENSDARP00000084659	ENSDARG00000062401	znf319b
ENSP00000299259	ENSG00000166200	COPS2	ENSDARP00000012359	ENSDARG00000004785	cops2
ENSP00000299299	ENSG00000166228	PCBD1	ENSDARP00000046049	ENSDARG00000031981	pcbd1
ENSP00000299300	ENSG00000166226	CCT2	ENSDARP00000136096	ENSDARG00000104674	cct2
ENSP00000299314	ENSG00000111670	GNPTAB	ENSDARP00000106477	ENSDARG00000030153	gnptab
ENSP00000299333	ENSG00000166257	SCN3B	ENSDARP00000123929	ENSDARG00000062359	scn3b
ENSP00000299413	ENSG00000166326	TRIM44	ENSDARP00000067930	ENSDARG00000051761	trim44
ENSP00000299424	ENSG00000166337	TAF10	ENSDARP00000090137	ENSDARG00000068641	taf10
ENSP00000299427	ENSG00000166340	TPP1	ENSDARP00000124672	ENSDARG00000042793	tpp1
ENSP00000299432	ENSG00000166343	MSS51	ENSDARP00000100427	ENSDARG00000075463	mss51
ENSP00000299440	ENSG00000166349	RAG1	ENSDARP00000120100	ENSDARG00000052122	rag1
ENSP00000299505	ENSG00000166398	GARRE1	ENSDARP00000132615	ENSDARG00000105288	GARRE1
ENSP00000299518	ENSG00000166411	IDH3A	ENSDARP00000094415	ENSDARG00000030278	idh3a
ENSP00000299529	ENSG00000166426	CRABP1	ENSDARP00000052121	ENSDARG00000035904	crabp1b
ENSP00000299563	ENSG00000166439	RNF169	ENSDARP00000062855	ENSDARG00000042825	rnf169
ENSP00000299575	ENSG00000166454	ATMIN	ENSDARP00000117310	ENSDARG00000068601	atmin
ENSP00000299596	ENSG00000166471	TMEM41B	ENSDARP00000102085	ENSDARG00000080006	tmem41b
ENSP00000299601	ENSG00000166477	LEO1	ENSDARP00000072160	ENSDARG00000055357	leo1
ENSP00000299608	ENSG00000166479	TMX3	ENSDARP00000152640	ENSDARG00000038894	tmx3a
ENSP00000299638	ENSG00000255529	POLR2M	ENSDARP00000103340	ENSDARG00000074968	polr2m
ENSP00000299663	ENSG00000166523	CLEC4E	ENSDARP00000093678	ENSDARG00000008075	illr4
ENSP00000299687	ENSG00000215421	ZNF407	ENSDARP00000124312	ENSDARG00000087536	znf407
ENSP00000299709	ENSG00000166558	SLC38A8	ENSDARP00000142782	ENSDARG00000054196	slc38a8b
ENSP00000299721	ENSG00000166569	CPLX4	ENSDARP00000078446	ENSDARG00000059978	cplx4a
ENSP00000299727	ENSG00000166573	GALR1	ENSDARP00000122793	ENSDARG00000005522	galr1a
ENSP00000299736	ENSG00000166582	CENPV	ENSDARP00000112607	ENSDARG00000092285	cenpv
ENSP00000299752	ENSG00000166589	CDH16	ENSDARP00000135277	ENSDARG00000077570	cdh16
ENSP00000299766	ENSG00000166603	MC4R	ENSDARP00000027547	ENSDARG00000015515	mc4r
ENSP00000299821	ENSG00000025770	NCAPH2	ENSDARP00000040826	ENSDARG00000033757	ncaph2
ENSP00000299882	ENSG00000166682	TMPRSS5	ENSDARP00000149114	ENSDARG00000087717	tmprss5
ENSP00000299886	ENSG00000166685	COG1	ENSDARP00000139736	ENSDARG00000105131	cog1
ENSP00000299957	ENSG00000166734	GOLM2	ENSDARP00000101657	ENSDARG00000074490	casc4
ENSP00000300051	ENSG00000166816	LDHD	ENSDARP00000056720	ENSDARG00000038845	ldhd
ENSP00000300055	ENSG00000166819	PLIN1	ENSDARP00000147701	ENSDARG00000054048	plin1
ENSP00000300057	ENSG00000166823	MESP1	ENSDARP00000128147	ENSDARG00000097947	mespbb
ENSP00000300069	ENSG00000166831	RBPMS2	ENSDARP00000026087	ENSDARG00000079578	rbpms2b
ENSP00000300086	ENSG00000166848	TERF2IP	ENSDARP00000144881	ENSDARG00000103977	terf2ip
ENSP00000300087	ENSG00000166847	DCTN5	ENSDARP00000002605	ENSDARG00000003573	dctn5
ENSP00000300098	ENSG00000166856	GPR182	ENSDARP00000053188	ENSDARG00000036616	gpr182
ENSP00000300101	ENSG00000166860	ZBTB39	ENSDARP00000009683	ENSDARG00000019265	zbtb39
ENSP00000300128	ENSG00000166881	NEMP1	ENSDARP00000083040	ENSDARG00000073899	nemp1
ENSP00000300131	ENSG00000166886	NAB2	ENSDARP00000098853	ENSDARG00000078076	nab2
ENSP00000300146	ENSG00000166889	PATL1	ENSDARP00000091710	ENSDARG00000017423	patl1
ENSP00000300151	ENSG00000166902	MRPL16	ENSDARP00000014583	ENSDARG00000075325	mrpl16
ENSP00000300161	ENSG00000166913	YWHAB	ENSDARP00000027118	ENSDARG00000013078	ywhaba
ENSP00000300179	ENSG00000166924	NYAP1	ENSDARP00000130957	ENSDARG00000103123	CR854980.1
ENSP00000300213	ENSG00000166946	CCNDBP1	ENSDARP00000057465	ENSDARG00000039328	ccndbp1
ENSP00000300249	ENSG00000166974	MAPRE2	ENSDARP00000138793	ENSDARG00000099943	mapre2
ENSP00000300255	ENSG00000166979	EVA1C	ENSDARP00000104027	ENSDARG00000056024	eva1c
ENSP00000300291	ENSG00000167005	NUDT21	ENSDARP00000017229	ENSDARG00000003153	nudt21
ENSP00000300303	ENSG00000167011	NAT16	ENSDARP00000108929	ENSDARG00000086222	nat16
ENSP00000300413	ENSG00000167088	SNRPD1	ENSDARP00000027770	ENSDARG00000011648	snrpd1
ENSP00000300452	ENSG00000167113	COQ4	ENSDARP00000140019	ENSDARG00000104733	coq4
ENSP00000300527	ENSG00000142173	COL6A2	ENSDARP00000082031	ENSDARG00000061436	col6a2
ENSP00000300557	ENSG00000167183	PRR15L	ENSDARP00000121121	ENSDARG00000025615	prr15la
ENSP00000300589	ENSG00000167207	NOD2	ENSDARP00000124380	ENSDARG00000010756	nod2
ENSP00000300605	ENSG00000167220	HDHD2	ENSDARP00000144784	ENSDARG00000024728	hdhd2
ENSP00000300648	ENSG00000089154	GCN1	ENSDARP00000075715	ENSDARG00000058419	gcn1
ENSP00000300650	ENSG00000167257	RNF214	ENSDARP00000136622	ENSDARG00000094018	si:dkey-111e8.1
ENSP00000300651	ENSG00000125686	MED1	ENSDARP00000149053	ENSDARG00000075340	med1
ENSP00000300658	ENSG00000161395	PGAP3	ENSDARP00000126623	ENSDARG00000057531	pgap3
ENSP00000300688	ENSG00000167283	ATP5MG	ENSDARP00000007716	ENSDARG00000011841	atp5l
ENSP00000300738	ENSG00000167325	RRM1	ENSDARP00000010800	ENSDARG00000014017	rrm1
ENSP00000300850	ENSG00000167395	ZNF646	ENSDARP00000127100	ENSDARG00000061424	znf646
ENSP00000300873	ENSG00000167414	GNG8	ENSDARP00000063088	ENSDARG00000042970	gng8
ENSP00000300900	ENSG00000167434	CA4	ENSDARP00000062023	ENSDARG00000042293	ca4b
ENSP00000300935	ENSG00000167461	RAB8A	ENSDARP00000125104	ENSDARG00000067920	rab8a
ENSP00000300976	ENSG00000167487	KLHL26	ENSDARP00000115562	ENSDARG00000053876	klhl26
ENSP00000301012	ENSG00000167508	MVD	ENSDARP00000132668	ENSDARG00000099336	mvda
ENSP00000301019	ENSG00000167513	CDT1	ENSDARP00000089247	ENSDARG00000051854	cdt1
ENSP00000301037	ENSG00000167524	RSKR	ENSDARP00000112191	ENSDARG00000087176	rskra
ENSP00000301057	ENSG00000167543	TP53I13	ENSDARP00000111133	ENSDARG00000087793	si:dkey-54n8.2
ENSP00000301061	ENSG00000169884	WNT10B	ENSDARP00000059973	ENSDARG00000040925	wnt10b
ENSP00000301159	ENSG00000267796	LIN37	ENSDARP00000070545	ENSDARG00000053950	lin37
ENSP00000301175	ENSG00000250799	PRODH2	ENSDARP00000118592	ENSDARG00000021154	zgc:92040
ENSP00000301242	ENSG00000167641	PPP1R14A	ENSDARP00000112264	ENSDARG00000017710	ppp1r14ab
ENSP00000301280	ENSG00000167670	CHAF1A	ENSDARP00000101598	ENSDARG00000062152	chaf1a
ENSP00000301327	ENSG00000167700	MFSD3	ENSDARP00000130274	ENSDARG00000093253	MFSD3
ENSP00000301364	ENSG00000167721	TSR1	ENSDARP00000052644	ENSDARG00000007744	tsr1
ENSP00000301396	ENSG00000141456	PELP1	ENSDARP00000100297	ENSDARG00000079313	pelp1
ENSP00000301452	ENSG00000167769	ACER1	ENSDARP00000120885	ENSDARG00000010347	acer1
ENSP00000301455	ENSG00000167772	ANGPTL4	ENSDARP00000122994	ENSDARG00000035859	angptl4
ENSP00000301488	ENSG00000167797	CDK2AP2	ENSDARP00000141347	ENSDARG00000103145	cdk2ap2
ENSP00000301585	ENSG00000167862	MRPL58	ENSDARP00000102976	ENSDARG00000078835	mrpl58
ENSP00000301587	ENSG00000167863	ATP5PD	ENSDARP00000135150	ENSDARG00000098355	atp5pd
ENSP00000301599	ENSG00000167874	TMEM88	ENSDARP00000091709	ENSDARG00000069388	tmem88b
ENSP00000301633	ENSG00000089685	BIRC5	ENSDARP00000101794	ENSDARG00000075621	birc5a
ENSP00000301645	ENSG00000167910	CYP7A1	ENSDARP00000113850	ENSDARG00000069018	cyp7a1
ENSP00000301691	ENSG00000167941	SOST	ENSDARP00000149418	ENSDARG00000113477	CR848035.1
ENSP00000301727	ENSG00000167967	E4F1	ENSDARP00000055766	ENSDARG00000038243	e4f1
ENSP00000301729	ENSG00000167969	ECI1	ENSDARP00000002223	ENSDARG00000018002	eci1
ENSP00000301740	ENSG00000167978	SRRM2	ENSDARP00000153946	ENSDARG00000112583	AL928885.2
ENSP00000301764	ENSG00000167986	DDB1	ENSDARP00000130126	ENSDARG00000074431	ddb1
ENSP00000301765	ENSG00000167987	VPS37C	ENSDARP00000067620	ENSDARG00000031836	vps37c
ENSP00000301788	ENSG00000168002	POLR2G	ENSDARP00000073018	ENSDARG00000056127	polr2gl
ENSP00000301825	ENSG00000168032	ENTPD3	ENSDARP00000111869	ENSDARG00000035309	entpd3
ENSP00000301831	ENSG00000168038	ULK4	ENSDARP00000149196	ENSDARG00000004176	ulk4
ENSP00000301838	ENSG00000168040	FADD	ENSDARP00000140007	ENSDARG00000103021	fadd
ENSP00000301896	ENSG00000168070	MAJIN	ENSDARP00000142851	ENSDARG00000105594	MAJIN
ENSP00000301904	ENSG00000168077	SCARA3	ENSDARP00000027281	ENSDARG00000008060	scara3
ENSP00000301908	ENSG00000168081	PNOC	ENSDARP00000035567	ENSDARG00000025024	pnoca
ENSP00000301917	ENSG00000170128	GPR25	ENSDARP00000136432	ENSDARG00000057112	gpr25
ENSP00000301924	ENSG00000104228	TRIM35	ENSDARP00000136897	ENSDARG00000100721	si:ch211-175l6.2
ENSP00000301962	ENSG00000106346	USP42	ENSDARP00000117687	ENSDARG00000077300	usp42
ENSP00000302037	ENSG00000168958	MFF	ENSDARP00000115302	ENSDARG00000053753	mff
ENSP00000302114	ENSG00000169230	PRELID1	ENSDARP00000141813	ENSDARG00000098671	prelid1a
ENSP00000302160	ENSG00000170860	LSM3	ENSDARP00000104495	ENSDARG00000089663	lsm3
ENSP00000302216	ENSG00000172238	ATOH1	ENSDARP00000105581	ENSDARG00000055294	atoh1a
ENSP00000302232	ENSG00000166199	ALKBH3	ENSDARP00000067056	ENSDARG00000045606	alkbh3
ENSP00000302289	ENSG00000170571	EMB	ENSDARP00000117091	ENSDARG00000059485	emb
ENSP00000302321	ENSG00000130414	NDUFA10	ENSDARP00000004708	ENSDARG00000013333	ndufa10
ENSP00000302327	ENSG00000171016	PYGO1	ENSDARP00000132493	ENSDARG00000098687	pygo1
ENSP00000302413	ENSG00000169902	TPST1	ENSDARP00000138186	ENSDARG00000073872	tpst1
ENSP00000302441	ENSG00000170191	NANP	ENSDARP00000119955	ENSDARG00000075143	nanp
ENSP00000302478	ENSG00000186184	POLR1D	ENSDARP00000054709	ENSDARG00000037570	polr1d
ENSP00000302485	ENSG00000172346	CSDC2	ENSDARP00000060560	ENSDARG00000041323	csdc2a
ENSP00000302530	ENSG00000169679	BUB1	ENSDARP00000117438	ENSDARG00000077029	bub1
ENSP00000302543	ENSG00000171604	CXXC5	ENSDARP00000147051	ENSDARG00000078865	cxxc5a
ENSP00000302548	ENSG00000170166	HOXD4	ENSDARP00000076791	ENSDARG00000059276	hoxd4a
ENSP00000302552	ENSG00000171433	GLOD5	ENSDARP00000097435	ENSDARG00000071871	glod5
ENSP00000302562	ENSG00000169087	HSPBAP1	ENSDARP00000154533	ENSDARG00000033771	hspbap1
ENSP00000302579	ENSG00000136155	SCEL	ENSDARP00000070406	ENSDARG00000034677	scel
ENSP00000302586	ENSG00000170852	KBTBD2	ENSDARP00000110552	ENSDARG00000087226	kbtbd2
ENSP00000302599	ENSG00000172461	FUT9	ENSDARP00000128503	ENSDARG00000016460	fut9a
ENSP00000302620	ENSG00000172482	AGXT	ENSDARP00000068371	ENSDARG00000052099	agxta
ENSP00000302621	ENSG00000171236	LRG1	ENSDARP00000042819	ENSDARG00000029388	si:dkey-90m5.4
